id1,id,proc,order,time,score
2,27,1,1,1,7
2,27,1,1,2,7
5,37,1,2,1,2
5,37,1,2,2,5
6,42,1,2,1,3.25
6,42,1,2,2,2.5
8,47,1,2,1,1.25
8,47,1,2,2,5.75
10,49,1,2,1,4
10,49,1,2,2,2.25
13,56,1,2,1,4
13,56,1,2,2,4
15,58,1,1,1,4
15,58,1,1,2,5
16,60,1,2,1,1
16,60,1,2,2,7
19,63,1,1,1,4.25
19,63,1,1,2,5
20,64,1,2,1,3
20,64,1,2,2,4
23,70,1,2,1,1.5
23,70,1,2,2,1.25
25,72,1,2,1,2
25,72,1,2,2,2
30,77,1,1,1,4.75
30,77,1,1,2,5.75
33,80,1,2,1,2
33,80,1,2,2,6
36,83,1,1,1,2
36,83,1,1,2,2
37,84,1,2,1,1
37,84,1,2,2,5.75
39,86,1,2,1,2
39,86,1,2,2,2
45,92,1,2,1,2.25
45,92,1,2,2,5.5
47,94,1,2,1,3
47,94,1,2,2,6.5
50,97,1,1,1,2
50,97,1,1,2,3.75
51,98,1,1,1,2
51,98,1,1,2,2.5
52,99,1,2,1,4
52,99,1,2,2,4
53,102,1,1,1,1.5
53,102,1,1,2,3.75
54,103,1,2,1,2.5
54,103,1,2,2,5.5
58,107,1,2,1,2
58,107,1,2,2,2.75
59,108,1,1,1,5.25
59,108,1,1,2,5.5
61,113,1,2,1,1
61,113,1,2,2,1.5
65,117,1,1,1,4.75
65,117,1,1,2,5
67,119,1,1,1,3
67,119,1,1,2,2.25
68,120,1,2,1,3
68,120,1,2,2,5.25
70,123,1,2,1,3.5
70,123,1,2,2,4.75
71,124,1,2,1,3.25
71,124,1,2,2,4.75
75,129,1,2,1,5
75,129,1,2,2,2.75
76,130,1,1,1,4
76,130,1,1,2,2.5
78,132,1,2,1,1
78,132,1,2,2,1
80,134,1,1,1,3.25
80,134,1,1,2,3.25
85,141,1,1,1,2
85,141,1,1,2,2.25
90,148,1,2,1,2.5
90,148,1,2,2,2
95,154,1,2,1,3
95,154,1,2,2,5
100,163,1,1,1,3
100,163,1,1,2,4.75
101,165,1,1,1,4
101,165,1,1,2,4
102,167,1,2,1,3.5
102,167,1,2,2,4.5
103,168,1,2,1,2
103,168,1,2,2,2
104,170,1,2,1,2
104,170,1,2,2,5.25
105,171,1,2,1,1
105,171,1,2,2,1
108,174,1,1,1,2
108,174,1,1,2,2
110,176,1,2,1,2
110,176,1,2,2,5.5
113,180,1,2,1,2.25
113,180,1,2,2,1.25
114,181,1,2,1,2
114,181,1,2,2,6
116,183,1,1,1,1
116,183,1,1,2,5.75
